net.if.in[WAN Miniport (PPTP)]_avg,"system.cpu.load[percpu,avg1]_avg","icmppingloss[,{$PINGL},,,]_avg",net.if.out[WAN Miniport (PPTP)]_avg,net.if.out[Intel(R) 82574L Gigabit Network Connection-WFP 802.3 MAC Layer LightWeight Filter-0000]_avg,"vfs.fs.size[J:,total]_avg","vfs.fs.size[C:,pfree]_avg",net.if.out[WAN Miniport (Network Monitor)]_avg,"system.swap.size[,free]_avg",net.if.in[WAN Miniport (IP)]_avg,"vfs.fs.size[C:,total]_avg",net.if.out[WAN Miniport (L2TP)]_avg,net.if.out[WAN Miniport (IPv6)-QoS Packet Scheduler-0000]_avg,"vfs.fs.size[J:,pfree]_avg",net.if.in[WAN Miniport (L2TP)]_avg,net.if.out[WAN Miniport (IP)]_avg,perf_counter[\2\250]_avg,"vfs.fs.size[O:,pfree]_avg",perf_counter[\234(_Total)\1402]_avg,net.if.in[WAN Miniport (Network Monitor)-QoS Packet Scheduler-0000]_avg,net.if.in[WAN Miniport (IKEv2)]_avg,net.if.out[WAN Miniport (Network Monitor)-QoS Packet Scheduler-0000]_avg,"vfs.fs.size[O:,total]_avg",perf_counter[\2\18]_avg,net.if.in[Intel(R) 82574L Gigabit Network Connection-QoS Packet Scheduler-0000]_avg,net.if.out[Intel(R) 82574L Gigabit Network Connection]_avg,net.if.out[WAN Miniport (PPPOE)]_avg,net.if.out[WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[Intel(R) 82574L Gigabit Network Connection-WFP Native MAC Layer LightWeight Filter-0000]_avg,"vfs.fs.size[O:,used]_avg","vfs.fs.size[O:,free]_avg",net.if.in[WAN Miniport (IPv6)-WFP Native MAC Layer LightWeight Filter-0000]_avg,"icmppingsec[,{$PINGS},,,]_avg","vfs.fs.size[J:,used]_avg",vm.memory.size[free]_avg,"vfs.fs.size[J:,free]_avg",net.if.out[Microsoft ISATAP Adapter #2]_avg,"system.cpu.load[percpu,avg15]_avg",net.if.in[WAN Miniport (Network Monitor)]_avg,net.if.out[WAN Miniport (IPv6)]_avg,agent.ping_avg,net.if.in[WAN Miniport (IPv6)]_avg,proc.num[]_avg,perf_counter[\234(_Total)\1404]_avg,net.if.out[Microsoft Kernel Debug Network Adapter]_avg,vm.memory.size[total]_avg,perf_counter[\2\16]_avg,"system.cpu.load[percpu,avg5]_avg",net.if.out[WAN Miniport (IKEv2)]_avg,net.if.out[Intel(R) 82574L Gigabit Network Connection-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[Intel(R) 82574L Gigabit Network Connection-QoS Packet Scheduler-0000]_avg,net.if.in[WAN Miniport (IP)-QoS Packet Scheduler-0000]_avg,net.if.out[WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[WAN Miniport (IPv6)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[RAS Async Adapter]_avg,"system.swap.size[,total]_avg",net.if.in[WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[WAN Miniport (PPPOE)]_avg,net.if.in[Microsoft ISATAP Adapter #2]_avg,net.if.in[Intel(R) 82574L Gigabit Network Connection-WFP 802.3 MAC Layer LightWeight Filter-0000]_avg,net.if.out[WAN Miniport (SSTP)]_avg,net.if.in[RAS Async Adapter]_avg,"vfs.fs.size[C:,used]_avg",net.if.in[WAN Miniport (SSTP)]_avg,net.if.out[WAN Miniport (IP)-QoS Packet Scheduler-0000]_avg,"vfs.fs.size[C:,free]_avg",net.if.in[WAN Miniport (IPv6)-QoS Packet Scheduler-0000]_avg,net.if.in[Intel(R) 82574L Gigabit Network Connection]_avg,system.uptime_avg,"icmpping[,{$PING},,,]_avg",net.if.in[WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[Microsoft Kernel Debug Network Adapter]_avg
0.0,0.0034010676769416215,0.0,0.0,2.830054028668636e-06,0.0,0.967139703563543,0.0,0.15553255603843663,0.0,0.0,0.0,0.0,0.9991675299689212,0.0,0.0,0.26750448833034124,0.0,0.00013351580493340897,0.0,0.0,0.0,0.0,0.0020957860218135337,1.0990832261577582e-05,2.272571599778314e-06,0.0,0.0,1.0774540181442398e-05,0.0,0.0,0.0,0.01877940046118371,0.0008278200694213922,0.9804561639447029,0.9991717120434978,0.0,0.002658685545866124,0.0,0.0,0.0,0.0,0.043478260869564966,0.0020214782059380927,0.0,0.0,0.0005085761849585027,0.0033208800332087986,0.0,2.2611605836814138e-06,2.2789600856801e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1084238687672238e-05,0.0,0.0,0.03287303136698938,0.0,0.0,0.9671286548762517,0.0,1.056180620068745e-05,0.0,1.0,0.0,0.0
0.0,0.00332931519430572,0.0,0.0,3.13722991357404e-06,0.0,0.9687795648060558,0.0,0.22903161988239873,0.0,0.0,0.0,0.0,0.9991638301021163,0.0,0.0,0.2459605026929983,0.0,2.2252634155568166e-05,0.0,0.0,0.0,0.0,0.0002648875853375706,1.4274866510477838e-05,2.6054275269467937e-06,0.0,0.0,1.419599735691824e-05,0.0,0.0,0.0,0.020937740199846268,0.0008300565011243322,0.9881811351537224,0.9991694756128418,0.0,0.003631004831211447,0.0,0.0,0.0,0.0,0.0,0.0005053695514845233,0.0,0.0,0.00011318786722246613,0.0037063393227776756,0.0,2.4482075909012434e-06,2.631918238851433e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4655643164981696e-05,0.0,0.0,0.031235906648774403,0.0,0.0,0.9687650181782139,0.0,1.3659742375270265e-05,0.0010680796142211735,1.0,0.0,0.0
0.0,0.0020234200103323545,0.0,0.0,2.866825448467536e-06,0.0,0.9579943235572372,0.0,0.3306778641943966,0.0,0.0,0.0,0.0,0.9991601302353116,0.0,0.0,0.2028725314183124,0.0,0.0001223894878556249,0.0,0.0,0.0,0.0,0.000729240673529053,1.4655911396500507e-05,2.873237484520355e-06,0.0,0.0,1.491023347393824e-05,0.0,0.0,0.0,0.019099154496541128,0.0008322635267254963,0.9959430731891779,0.9991672685882742,0.0,0.0013217465285163023,0.0,0.0,0.0,0.0,0.0,0.012634238787113077,0.0,0.0,0.0002653863711224469,0.0018235189468066189,0.0,2.373299077218475e-06,2.5142655211276644e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4984921591967675e-05,0.0,0.0,0.04204256959513941,0.0,0.0,0.9579794899447585,0.0,1.5062918659177957e-05,0.0021367527708786582,1.0,0.0,0.0
0.0,0.003056655760289302,0.0,0.0,4.144856502453535e-06,0.0,0.9526332387259515,0.0,0.32181080041138355,0.0,0.0,0.0,0.0,0.9991601302353116,0.0,0.0,0.13105924596050267,0.0,6.675790246670449e-05,0.0,0.0,0.0,0.0,0.0005674561068116544,2.1747090648233623e-05,4.217670387113244e-06,0.0,0.0,2.2059249017898803e-05,0.0,0.0,0.0,0.024873174481168332,0.0008350199888800258,1.0,0.9991645121274104,0.0,0.0028106104342013292,0.0,0.0,0.0,0.0,0.0,0.0036639292482627925,0.0,0.0,0.00017358858065668156,0.003157801103006584,0.0,4.042368415024182e-06,3.917117010322665e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.223345204822782e-05,0.0,0.0,0.04739354393837658,0.0,0.0,0.95262053176614,0.0,2.192798097176772e-05,0.0032051291563179873,1.0,0.0,0.0
0.0,0.0022530279547672317,0.0,0.0,2.475792789142703e-06,0.0,0.9519394512772017,0.0,0.31214303844885727,0.0,0.0,0.0,0.0,0.9991564303685067,0.0,0.0,0.09156193895870746,0.0,1.1126317077784083e-05,0.0,0.0,0.0,0.0,0.0005457883967644128,1.5739576621489563e-05,2.5498020081207956e-06,0.0,0.0,1.5786392685810573e-05,0.0,0.0,0.0,0.0211652574942352,0.000837537805966182,0.988235210329087,0.9991619943115033,0.0,0.002415605724529795,0.0,0.0,0.0,0.0,0.0,0.0015161086544535694,0.0,0.0,0.00017876838836435906,0.0025351360967799316,0.0,2.4020065315639674e-06,2.332846826622284e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6184199876207632e-05,0.0,0.0,0.0480414163164653,0.0,0.0,0.9519567033907244,0.0,1.5652788944132794e-05,0.0042735055417573165,1.0,0.0,0.0
0.0,0.0,0.0,0.0,2.900009412676289e-06,0.0,0.9830337432986447,0.0,0.3059318626971299,0.0,0.0,0.0,0.0,0.999152730501702,0.0,0.0,0.087971274685817,0.0,3.3378951233352243e-05,0.0,0.0,0.0,0.0,0.001970364877658793,1.544112817029853e-05,2.698286255954711e-06,0.0,0.0,1.527622403079635e-05,0.0,0.0,0.0,0.021318985395849352,0.0008395065770485655,0.9774389980369986,0.9991600255413429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005053695514845231,0.0,0.0,0.00020337040658555534,0.0,0.0,2.529395860222073e-06,2.3764052755505515e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.551132656888842e-05,0.0,0.0,0.0169595604396946,0.0,0.0,0.9822188988145903,0.0,1.5112074516257382e-05,0.0053418819271966456,1.0,0.0,0.0
0.0,0.001937317031169273,0.0,0.0,2.812565182666726e-06,0.0,1.0,0.0,0.3227368055826272,0.0,0.0,0.0,0.0,0.999152730501702,0.0,0.0,0.0628366247755836,0.0,0.0,0.0,0.0,0.0,0.0,0.00018898761316945163,1.626488994701798e-05,2.5506991939083047e-06,0.0,0.0,1.6512828488059184e-05,0.0,0.0,0.0,0.018459646425826287,0.0008420256997963005,0.97341420636524,0.9991575064197749,0.0,0.0010330892406794079,0.0,0.0,0.0,0.0,0.0,0.0010107391029690463,0.0,0.0,0.00010319133776476068,0.0017345668030599552,0.0,2.3885499123395195e-06,2.249322378161897e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6836149136327094e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.640018140745608e-05,0.006410258312635975,1.0,0.0,0.0
0.0,0.0019229665346420961,0.0,0.0,4.577144901064936e-06,0.0,0.9945758435824672,0.0,0.3451863577734704,0.0,0.0,0.0,0.0,0.9991675299689212,0.0,0.0,0.10592459605026927,0.0,0.00011126317077784082,0.0,0.0,0.0,0.0,0.0015538472986936507,2.295630245416672e-05,4.348659512090603e-06,0.0,0.0,2.320823755397436e-05,0.0,0.0,0.0,0.02043966179861645,0.0008258097373317064,0.9963398028907857,0.9991737223746457,0.0,0.0017775211935219214,0.0,0.0,0.0,0.0,0.0,0.0054327226784586236,0.0,0.0,0.0005593750246368662,0.002253454308248831,0.0,4.18456002482919e-06,3.994803728514314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3096844311629085e-05,0.0,0.0,0.0053968374398252195,0.0,0.0,0.9946124972395829,0.0,2.307532336314768e-05,0.007478634698075304,1.0,0.0,0.0
0.0,0.0009758337638482266,0.0,0.0,2.805390271486458e-06,0.0,0.9900346893724361,0.0,0.30453222991038054,0.0,0.0,0.0,0.0,0.9991786295693353,0.0,0.0,0.15080789946140039,0.0,4.450526831113633e-05,0.0,0.0,0.0,0.0,0.0009855932715902766,1.697632057236654e-05,2.5690915025523836e-06,0.0,0.0,1.6838892802350852e-05,0.0,0.0,0.0,0.02203228285933897,0.0008157099818260072,0.9942751202059736,0.9991838221254223,0.0,0.00031904226550393336,0.0,0.0,0.0,0.0,0.0,0.004548325963360708,0.0,0.0,0.00017483038907993738,0.001008124295795526,0.0,2.413220380917676e-06,2.327458152528075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7189655407439178e-05,0.0,0.0,0.009932697765989928,0.0,0.0,0.9900715687966901,0.0,1.670181962135347e-05,0.008547011083514633,1.0,0.0,0.0
0.0,0.0007749268124677064,0.0,0.0,3.0901445589535113e-06,0.0,0.9900977609586867,0.0,0.29644243251613034,0.0,0.0,0.0,0.0,0.9991749297025306,0.0,0.0,0.20466786355475763,0.0,0.00015576843908897715,0.0,0.0,0.0,0.0,0.0016519449805029235,1.7872767211737656e-05,2.859331104813849e-06,0.0,0.0,1.8216348170889407e-05,0.0,0.0,0.0,0.020525749423520374,0.0008181312163308974,0.9715901935550737,0.9991814008939655,0.0,0.001017896751845885,0.0,0.0,0.0,0.0,0.0,0.0040429564118761845,0.0,0.0,0.00019844517587407946,0.0009636482239221977,0.0,2.687286859122268e-06,2.568152262069848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8360300784984627e-05,0.0,0.0,0.009916587312581271,0.0,0.0,0.9900852124091557,0.0,1.780894358421382e-05,0.009615387468953962,1.0,0.0,0.0
