net.if.in[vmxnet3 Ethernet Adapter-QoS Packet Scheduler-0000]_avg,net.if.out[WAN Miniport (L2TP)]_avg,"icmppingloss[,{$PINGL},,,]_avg",vm.memory.size[free]_avg,net.if.out[WAN Miniport (Network Monitor)-QoS Packet Scheduler-0000]_avg,net.if.in[WAN Miniport (Network Monitor)]_avg,perf_counter[\2\18]_avg,net.if.out[WAN Miniport (PPTP)]_avg,net.if.out[WAN Miniport (IPv6)-QoS Packet Scheduler-0000]_avg,net.if.in[WAN Miniport (IKEv2)]_avg,net.if.out[vmxnet3 Ethernet Adapter-QoS Packet Scheduler-0000]_avg,perf_counter[\234(_Total)\1402]_avg,"system.cpu.load[percpu,avg15]_avg",proc.num[]_avg,"icmpping[,{$PING},,,]_avg",net.if.in[WAN Miniport (IPv6)-QoS Packet Scheduler-0000]_avg,"system.swap.size[,total]_avg",net.if.out[WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000]_avg,"system.cpu.load[percpu,avg1]_avg",net.if.in[WAN Miniport (IP)-QoS Packet Scheduler-0000]_avg,perf_counter[\2\250]_avg,"vfs.fs.size[E:,used]_avg",vm.memory.size[total]_avg,"vfs.fs.size[E:,free]_avg",net.if.in[WAN Miniport (IP)]_avg,net.if.in[WAN Miniport (SSTP)]_avg,perf_counter[\234(_Total)\1404]_avg,net.if.in[vmxnet3 Ethernet Adapter]_avg,net.if.out[vmxnet3 Ethernet Adapter]_avg,net.if.in[vmxnet3 Ethernet Adapter-WFP 802.3 MAC Layer LightWeight Filter-0000]_avg,net.if.out[WAN Miniport (IPv6)]_avg,system.uptime_avg,net.if.in[Microsoft ISATAP Adapter]_avg,net.if.out[Microsoft ISATAP Adapter]_avg,net.if.out[WAN Miniport (IP)-QoS Packet Scheduler-0000]_avg,net.if.out[WAN Miniport (IP)]_avg,net.if.out[WAN Miniport (IKEv2)]_avg,net.if.out[WAN Miniport (Network Monitor)]_avg,"system.swap.size[,free]_avg",net.if.out[WAN Miniport (IPv6)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[vmxnet3 Ethernet Adapter-WFP Native MAC Layer LightWeight Filter-0000]_avg,"vfs.fs.size[C:,free]_avg",net.if.in[Microsoft Kernel Debug Network Adapter]_avg,net.if.out[RAS Async Adapter]_avg,"vfs.fs.size[C:,used]_avg","vfs.fs.size[E:,pfree]_avg",net.if.out[WAN Miniport (PPPOE)]_avg,net.if.in[WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000]_avg,"vfs.fs.size[E:,total]_avg",net.if.out[WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[WAN Miniport (L2TP)]_avg,"icmppingsec[,{$PINGS},,,]_avg",net.if.in[RAS Async Adapter]_avg,net.if.in[WAN Miniport (Network Monitor)-QoS Packet Scheduler-0000]_avg,net.if.in[vmxnet3 Ethernet Adapter-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[Microsoft Kernel Debug Network Adapter]_avg,net.if.in[WAN Miniport (PPTP)]_avg,perf_counter[\2\16]_avg,"vfs.fs.size[C:,pfree]_avg",net.if.in[WAN Miniport (IPv6)]_avg,net.if.in[WAN Miniport (PPPOE)]_avg,"vfs.fs.size[C:,total]_avg","system.cpu.load[percpu,avg5]_avg",net.if.out[vmxnet3 Ethernet Adapter-WFP 802.3 MAC Layer LightWeight Filter-0000]_avg,net.if.in[WAN Miniport (IP)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.in[WAN Miniport (IPv6)-WFP Native MAC Layer LightWeight Filter-0000]_avg,net.if.out[WAN Miniport (SSTP)]_avg
2.7632615307807563e-05,0.0,0.0,0.6539396996975537,0.0,0.0,0.00038161471177260864,0.0,0.0,0.0,1.2401729059275128e-06,0.0,0.015921492892591677,0.43859649122806976,1.0,0.0,0.0,0.0,0.0167940307928135,0.0,0.18435754189944142,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.016006901178951403,2.7098220249561675e-05,1.4768151872598419e-06,5.43914944704599e-05,0.0,0.8949037058401847,0.0,0.0,0.0,0.0,0.0,0.0,0.545281472847233,0.0,3.1879669846435167e-06,0.749046998570785,0.0,0.0,0.250732735245518,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.018183422365529306,0.0,0.0,3.3138796864273725e-05,0.0,0.0,0.0002082953349247638,0.7492456725424805,0.0,0.0,0.0,0.018505071841925763,4.125409896264749e-06,0.0,0.0,0.0
3.622125721468902e-05,0.0,0.0,0.654094545479285,0.0,0.0,0.0027147361420272018,0.0,0.0,0.0,1.1882666722307957e-06,0.0,0.024297680267678687,0.43859649122806976,1.0,0.0,0.0,0.0,0.03766822208696828,0.0,0.1824953445065176,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.013898207610466787,3.7081938823711324e-05,1.4360547448456377e-06,7.145336823392618e-05,0.0,0.896067429354481,0.0,0.0,0.0,0.0,0.0,0.0,0.5469493256589688,0.0,3.0648579258985324e-06,0.7479602592597541,0.0,0.0,0.25181882727698746,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.01740539326563678,0.0,0.0,4.167577451511721e-05,0.0,0.0,9.50851878474426e-05,0.7481737335239025,0.0,0.0,0.0,0.023455893678350603,3.836682155480481e-06,0.0,0.0,0.0
3.008829376304075e-05,0.0,0.0,0.6508984689844151,0.0,0.0,0.009451874916717798,0.0,0.0,0.0,1.397178538431652e-06,0.0,0.01976151445060744,0.43859649122806976,1.0,0.0,0.0,0.0,0.028899258357566324,0.0,0.18901303538175052,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.008818173104572028,3.076005781945079e-05,1.7050736647793662e-06,3.8798713685132954e-05,0.0,0.8972317995614777,0.0,0.0,0.0,0.0,0.0,0.0,0.5490247590185289,0.0,3.2728993666348275e-06,0.7469530220761911,0.0,0.0,0.25281216409548524,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.021431894380544464,0.0,0.0,3.480508035321985e-05,0.0,0.0,0.0006489602330642446,0.7471811973955838,0.0,0.0,0.0,0.018923141241446083,4.024355186990253e-06,0.0,0.0,0.0
0.0002396592587833129,0.0,0.0,0.6542770039359795,0.0,0.0,0.0002085401000493253,0.0,0.0,0.0,3.820041413796086e-06,0.0,0.020210639779030343,0.43859649122806976,1.0,0.0,0.0,0.0,0.030048916841369674,0.0,0.1852886405959031,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.015431802933001053,0.00024039325858130094,4.14855492318866e-06,0.0005026273771888223,0.0,0.8983958464221241,0.0,0.0,0.0,0.0,0.0,0.0,0.5457788763024704,0.0,5.728646270171435e-06,0.7458233085971706,0.0,0.0,0.25392834581103596,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.019715417809647563,0.0,0.0,0.00024501530749235776,0.0,0.0,0.000142576668057415,0.7460497062093072,0.0,0.0,0.0,0.017404889211609126,5.563104205522928e-06,0.0,0.0,0.0
2.6158584966024217e-05,0.0,0.0,0.6538063646134908,0.0,0.0,0.0014125614194024395,0.0,0.0,0.0,9.703462861321467e-07,0.0,0.016887112348700904,0.43859649122806976,1.0,0.0,0.0,0.0,0.019521651901444958,0.0,0.18435754189944142,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.0020128438608262244,2.462173536797144e-05,1.3596825474800815e-06,5.7546379607895744e-05,0.0,0.8995598932827705,0.0,0.0,0.0,0.0,0.0,0.0,0.5473388915969445,0.0,2.95890692412149e-06,0.7450090613595766,0.0,0.0,0.25483069733261665,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.027904775654908003,0.0,0.0,3.1600209867003884e-05,0.0,0.0,3.4817049584003335e-05,0.7451564236938228,0.0,0.0,0.0,0.017646929390278787,3.879142117360518e-06,0.0,0.0,0.0
2.3815094866613915e-05,0.0,0.0,0.6539289443487197,0.0,0.0,0.0076306979383306385,0.0,0.0,0.0,1.0368377425205177e-06,0.0,0.01706676248007006,0.43859649122806976,1.0,0.0,0.0,0.0,0.020874191294154774,0.0,0.1852886405959031,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.007763826320329723,2.464662466326379e-05,1.259712199243139e-06,5.084782550800665e-05,0.0,0.9007239401434171,0.0,0.0,0.0,0.0,0.0,0.0,0.5474219590256644,0.0,2.9082906560660624e-06,0.7448559804549486,0.0,0.0,0.25488375453413514,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.02026084027142789,0.0,0.0,2.9382651279845698e-05,0.0,0.0,0.000497131218874613,0.7450968715261244,0.0,0.0,0.0,0.015886637181772176,3.966185039214605e-06,0.0,0.0,0.0
2.748303083337716e-05,0.0,0.0,0.6522373884847978,0.0,0.0,0.012522864051529583,0.0,0.0,0.0,9.561900405784978e-07,0.0,0.01969414565134401,0.43859649122806976,1.0,0.0,0.0,0.0,0.034534839160523884,0.0,0.1927374301675977,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.016773698840218537,2.866002352915753e-05,9.482166077409178e-07,3.6227004285223114e-05,0.0,0.9018879870040635,0.0,0.0,0.0,0.0,0.0,0.0,0.5484855714322207,0.0,3.0446972089611985e-06,0.7433690447483787,0.0,0.0,0.25635351036288423,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.020076359144649246,0.0,0.0,3.20736212507792e-05,0.0,0.0,0.00019248689478092827,0.7436279180562178,0.0,0.0,0.0,0.021101502849473014,3.465157489030126e-06,0.0,0.0,0.0
0.00024152906471369343,0.0,0.0,0.6524166435165455,0.0,0.0,0.0017670976189557755,0.0,0.0,0.0,3.909268658497893e-06,0.0,0.023197323213042603,0.43859649122806976,1.0,0.0,0.0,0.0,0.02745654967200919,0.0,0.2011173184357542,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.003163040352726924,0.00024204839671824308,4.120237142143007e-06,0.0004967446317709367,0.0,0.9030520338647099,0.0,0.0,0.0,0.0,0.0,0.0,0.5460323320992622,0.0,5.781836246772056e-06,0.7419158564472497,0.0,0.0,0.2578096121698863,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.02131158060221057,0.0,0.0,0.00024698370219331835,0.0,0.0,0.00017965624891163177,0.7421788153088773,0.0,0.0,0.0,0.023147842541861953,5.991525220892539e-06,0.0,0.0,0.0
2.5167587822922538e-05,0.0,0.0,0.6542680793311781,0.0,0.0,0.00030913173370020756,0.0,0.0,0.0,1.072013867835651e-06,0.0,0.019267476589342254,0.43859649122806976,1.0,0.0,0.0,0.0,0.015869795541128464,0.0,0.1973929236499068,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.010447618134764688,2.5573750912904374e-05,1.3373715684744116e-06,5.8754158867580766e-05,0.0,0.9042160807253564,0.0,0.0,0.0,0.0,0.0,0.0,0.5501914551480548,0.0,2.916440733125841e-06,0.7408092100134596,0.0,0.0,0.258928575248234,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.021287517846543785,0.0,0.0,3.2920778463850866e-05,0.0,0.0,2.5716977229203394e-05,0.741047324122599,0.0,0.0,0.0,0.017118841727726805,3.927971073522569e-06,0.0,0.0,0.0
2.6024582207680267e-05,0.0,0.0,0.6522582126744043,0.0,0.0,0.012161573947718178,0.0,0.0,0.0,1.0316900168646343e-06,0.0,0.01643798702027801,0.43859649122806976,1.0,0.0,0.0,0.0,0.019837244426410588,0.0,0.1964618249534451,0.978132182944595,0.0,0.021867817055408523,0.0,0.0,0.013035560241541263,2.682443800134564e-05,1.324070792528716e-06,5.464324793092194e-05,0.0,0.9053801275860028,0.0,0.0,0.0,0.0,0.0,0.0,0.5513821709406329,0.0,2.919872344519432e-06,0.7403399074631967,0.0,0.0,0.2594842639778685,0.021875000000008527,0.0,0.0,0.0,0.0,0.0,0.01785456470474999,0.0,0.0,3.1709219067215313e-05,0.0,0.0,0.00021215697636303764,0.7404915038907411,0.0,0.0,0.0,0.01786696591634212,3.818848971490869e-06,0.0,0.0,0.0
