net.if.out[vethc8701ff]_avg,"vfs.fs.size[boot,pfree]_avg",vm.memory.size[available]_avg,system.uptime_avg,net.if.out[vethc44eac7]_avg,"vfs.fs.size[,used]_avg",net.if.out[vetha0f3ea1]_avg,"vfs.fs.size[boot,total]_avg",net.if.out[br-29cb8b697ec7]_avg,"vfs.fs.size[,free]_avg","vfs.fs.inode[boot,pfree]_avg",vm.memory.size[total]_avg,net.if.in[vethc8701ff]_avg,"vfs.fs.size[varlibdockeroverlay,free]_avg","vfs.fs.size[varlibdockeroverlay,used]_avg","vfs.fs.size[varlibdockeroverlay,pfree]_avg","system.cpu.util[,idle]_avg",net.if.in[vetha0f3ea1]_avg,net.if.in[vethc44eac7]_avg,"system.cpu.util[,softirq]_avg",system.users.num_avg,agent.ping_avg,"vfs.fs.size[boot,used]_avg","vfs.fs.size[boot,free]_avg","system.cpu.util[,iowait]_avg",proc.num[]_avg,"vfs.fs.size[varlibdockeroverlay,total]_avg",net.if.in[veth66efed2]_avg,net.if.in[ens160]_avg,"icmpping[,{$PING},,,]_avg",net.if.out[vethcb7cc86]_avg,system.boottime_avg,net.if.out[vethdd07b19]_avg,"icmppingloss[,{$PINGL},,,]_avg",net.if.in[vethf19071c]_avg,net.if.in[docker0]_avg,net.if.out[veth66efed2]_avg,"system.cpu.util[,steal]_avg",net.if.in[vethcb7cc86]_avg,net.if.in[vethdd07b19]_avg,"icmppingsec[,{$PINGS},,,]_avg",net.if.out[vethf19071c]_avg,"system.cpu.load[percpu,avg1]_avg","system.cpu.util[,system]_avg",net.if.in[veth9312447]_avg,net.if.in[veth2ba502b]_avg,"vfs.fs.inode[varlibdockeroverlay,pfree]_avg",kernel.maxproc_avg,"system.cpu.util[,nice]_avg",vfs.file.cksum[etcpasswd]_avg,system.cpu.intr_avg,net.if.out[veth9312447]_avg,net.if.out[veth2ba502b]_avg,"proc.num[,,run]_avg","system.swap.size[,pfree]_avg","system.swap.size[,free]_avg","system.cpu.util[,user]_avg","system.swap.size[,total]_avg","system.cpu.load[percpu,avg5]_avg",net.if.in[br-29cb8b697ec7]_avg,"vfs.fs.size[,total]_avg","system.cpu.load[percpu,avg15]_avg",net.if.out[docker0]_avg,"vfs.fs.size[,pfree]_avg","system.cpu.util[,interrupt]_avg",system.cpu.switches_avg,"vfs.fs.inode[,pfree]_avg",net.if.out[ens160]_avg,system.localtime_avg,kernel.maxfiles_avg
0.0,0.0,0.09558502203843278,0.7921342864056009,0.0008747940412087447,0.9554159367721144,0.0,0.0,0.0,0.04453023755469232,0.0,1.0,0.0,0.04452338458337479,0.9554141931602445,0.044512311509834035,0.9846172135045173,0.0,0.0010151359371136297,0.025383707201889025,0.0,0.0,1.0,0.0,0.00358974358974359,0.7142857142857153,0.0,0.0009120392089443947,0.006907231813664944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002991527222897729,0.0,0.0,0.0,0.3842055781886555,0.0,0.015185686362952939,0.07570600436100625,0.0,0.0,0.9310344827536028,0.0,0.0,0.0,0.07204610951008644,0.0,0.0,0.0,0.017293214401071566,0.01728844631407256,0.004962971579233061,0.0,0.011938043067623727,0.0,0.0,0.0008836264027569096,0.0,0.044550486734109995,0.0,0.1039325842696629,0.9310344827536028,0.0034439224176717135,0.0,0.0
0.0,0.0,0.09506804816460612,0.792841116913969,0.0008861182359169483,0.9554575034550137,0.0002427380856056321,0.0,0.0,0.04453551990017246,0.0,1.0,0.0,0.04453686967021753,0.9554518663398035,0.044550486734109995,0.9838088445078461,0.00015429015969843597,0.0010183895779377118,0.026957890594254227,0.0,0.0,1.0,0.0,0.00358974358974359,0.7142857142857153,0.0,0.0009120392089443947,0.007812717664868078,0.0,0.0002664072092107405,0.0,0.0,0.0,8.557559602492262e-05,0.0,0.0030108273985293265,0.0,0.00016603515051523366,0.0,0.34236916327170164,0.0001514061849426547,0.029845136069763942,0.07706217093017073,0.0,8.81708084087521e-05,0.9310344827536028,0.0,0.0,0.0,0.06340057636887608,0.0,0.00015542223039256625,0.0,0.017293214401071566,0.01728844631407256,0.004872500743153298,0.0,0.028107291273139406,0.0,0.0,0.0037112308915790357,0.0,0.044550486734109995,0.0,0.0898876404494382,0.9310344827536028,0.0038120376404632266,0.0010683760683605215,0.0
0.0,0.0,0.09468838215391828,0.7935483402150618,0.0008663008951775913,0.9558357680076366,0.0002427380856056321,0.0,0.0,0.044155588117938294,0.0,1.0,0.0,0.044149424919794455,0.9558370837645427,0.044130559267038905,0.9831708670153749,0.00015429015969843597,0.0010216432187617939,0.02105470287288469,0.0,0.0,1.0,0.0,0.0028205128205128216,0.7142857142857153,0.0,0.0009266085253812062,0.007698951493819477,0.0,0.0002779901313503374,0.0,0.0,0.0,8.37548386626902e-05,0.0,0.002981877135081929,0.0,0.00016428741208875716,0.0,0.36156377311187715,0.0001514061849426547,0.011050969778980603,0.08025315109291073,0.0,9.404886230266873e-05,0.9310344827536028,0.0,0.0,0.0,0.07204610951008644,0.0,0.00016210705750622492,0.0,0.017293214401071566,0.01728844631407256,0.005135296981289769,0.0,0.008160181337363051,0.0,0.0,0.0001767252805513833,0.0,0.04416873449131842,0.0,0.10112359550561789,0.9310344827536028,0.0038065840816070545,0.002136752136721043,0.0
0.0,0.0,0.09412316059020875,0.7942551707234299,0.0008776250898857958,0.9560424875197331,0.001548129568195917,0.0,0.0,0.04394247785613814,0.0,1.0,0.0,0.043942564665130135,0.9560408834476277,0.04393968314564134,0.9843794579172611,0.00048398386936983036,0.0010118822962895476,0.024793388429752067,0.0,0.0,1.0,0.0,0.005897435897435896,0.7142857142857153,0.0,0.0009178669355191195,0.006874727193365342,0.0,0.0016563578659624257,0.0,1.0,0.0,0.0005498687233941833,0.0,0.002981877135081929,0.0,0.00052082605108989,1.0,0.39078658727671567,0.0004731443279457964,0.012404149751917006,0.07544008934744459,1.0,0.0005897647406896524,0.9310344827536028,0.0,0.0,0.0,0.07204610951008644,0.9333333333333333,0.0005030332403028223,0.0,0.017293214401071566,0.01728844631407256,0.004704483476148005,0.0,0.008840196448809975,0.0,0.0,0.0001767252805513833,0.0,0.04393968314564134,0.0,0.10674157303370779,0.9310344827536028,0.0034275617411032005,0.003205128205138408,0.0
0.0,0.0,0.09377407158380147,0.7949623940245228,0.0008889492845939994,0.9566538834929954,0.00023194972624538106,0.0,0.0,0.04330759043151389,0.0,1.0,0.0,0.043301410081689085,0.9566556181005694,0.04332887955716913,0.9827032810271041,0.00015266605275424203,0.0010183895779377118,0.026367571822117283,0.0,0.0,1.0,0.0,0.0028205128205128216,0.7142857142857153,0.0,0.0009062114823696708,0.00782432645783222,0.0,0.0002490328260013443,0.0,0.0,0.0,8.739635338715504e-05,0.0,0.003030127574160924,0.0,0.00016253967366228108,0.0,0.3879661548104043,0.000148251889423016,0.008795669824086604,0.07940222304951339,0.0,8.425210581280746e-05,0.9310344827536028,0.0,0.0,0.0,0.07204610951008644,0.0,0.00015542223039256625,0.0,0.017293214401071566,0.01728844631407256,0.005936610100853439,0.0,0.005440120891575369,0.0,0.0,0.0001767252805513833,0.0,0.04332887955716913,0.0,0.10112359550561789,0.9310344827536028,0.0038202179787474814,0.004273504273498929,0.0
0.0,0.0,0.09343858536885719,0.7956692245328909,0.00033972584124611436,0.9569458195923541,0.00024813226528575677,0.0,0.0,0.0430397058718377,0.0,1.0,0.0,0.04303421719823319,0.956937822797677,0.04302347776293303,0.9846449516563638,0.0001559142666426299,0.00036440777229720034,0.025974025974025983,0.0,0.0,1.0,0.0,0.0028205128205128216,0.7142857142857153,0.0,0.0003584051843455614,0.007039572053456171,0.0,0.00028957305348993514,0.0,0.0,0.0,8.921711074938747e-05,0.0,0.0010615096597379036,0.0,0.00016253967366228108,0.0,0.3834221247257913,0.0001450975939033777,0.01901969628627274,0.0713715896399511,0.0,9.404886230266873e-05,0.9310344827536028,0.0,0.0,0.0,0.06916426512968299,0.0,0.00015876464394939558,0.0,0.017293214401071566,0.01728844631407256,0.005066366820467086,0.0,0.013071401586701928,0.0,0.0,0.0004418132013784548,0.0,0.04302347776293303,0.0,0.10112359550561789,0.9310344827536028,0.0035120919033738447,0.005341880341859451,0.0
0.0,0.0,0.09296761362516903,0.7963762514376214,7.9269362957427e-05,0.9574725569477405,0.0022116136688513097,0.0,0.0,0.04251881244011457,0.0,1.0,0.0,0.042512062091482505,0.9574705378477475,0.04252719984730291,0.9841535901093672,0.0007649543707154028,4.2297330713067776e-05,0.02203856749311295,0.0,0.0,1.0,0.0,0.00358974358974359,0.7142857142857153,0.0,7.576044547141954e-05,0.007622333460256137,0.0,0.0020501772187087363,0.0,0.0,0.0,0.0007410482464285844,0.0,9.650087815799187e-05,0.0,0.000695599893737504,0.0,0.3760576621748668,0.0007381051515954425,0.025033829499323413,0.07131840663723873,0.0,0.000687732305588266,0.9310344827536028,0.0,0.0,0.0,0.0749279538904899,0.0,0.0006500994368033156,0.0,0.017293214401071566,0.01728844631407256,0.005910761290544936,0.0,0.019115980355119,0.0,0.0,0.0015021648846867547,0.0,0.04252719984730291,0.0,0.1095505617977528,0.9310344827536028,0.003692059345627474,0.006410256410276816,0.0
0.0,0.0,0.09256270201691319,0.7970832783423518,5.9452022218070034e-05,0.9577847896926226,0.0018825687083636761,0.0,0.0,0.04222534902863728,0.0,1.0,0.0,0.04221984583939076,0.9577756804202338,0.042221798053066806,0.9829053732762723,0.0006155365318495495,4.880461236123198e-05,0.024793388429752067,0.0,0.0,1.0,0.0,0.007948717948717949,0.7142857142857153,0.0,9.032976190823105e-05,0.007578220046992393,0.0,0.0020096369912201454,0.0,0.0,0.0,0.0006409065915058028,0.0,9.650087815799187e-05,0.0,0.0006676360789138855,0.0,0.39360701974302725,0.0006072018875304388,0.023831002856713274,0.08006701058341756,0.0,0.0006818542516943489,0.9310344827536028,0.0,0.0,0.0,0.07204610951008644,0.0,0.0006400721961328272,0.0,0.017293214401071566,0.01728844631407256,0.005695354537974054,0.0,0.020022667170381564,0.0,0.0,0.0013254396041353644,0.0,0.042221798053066806,0.0,0.098314606741573,0.9310344827536028,0.0037111468016240694,0.007478632478637337,0.0
0.0,0.0,0.09215372456901016,0.7977905016434448,5.6620973541018915e-05,0.9583833971704632,0.0018879628880438008,0.0,0.0,0.04160408492369427,0.0,1.0,0.0,0.04159912659972065,0.9583801292769607,0.0416109944645946,0.9821524805832937,0.0006171606387937434,5.531189400939619e-05,0.027548209366391185,0.0,0.0,1.0,0.0,0.0028205128205128216,0.7142857142857153,0.0,8.74158986208691e-05,0.007510889047800368,0.0,0.002021219913359743,0.0,0.0,0.0,0.0006445481062302676,0.0,0.00011580105378958955,0.0,0.0006676360789138855,0.0,0.4252585396427452,0.0006008932964911614,0.03894151255450308,0.08136999414986973,0.0,0.0006818542516943489,0.9310344827536028,0.0,0.0,0.0,0.06628242074927954,0.0,0.0006417434029112419,0.0,0.017293214401071566,0.01728844631407256,0.006238179554452668,0.0,0.037627502833396304,0.0,0.0,0.0024741539277193525,0.0,0.0416109944645946,0.0,0.0955056179775281,0.9310344827536028,0.003683879007343219,0.008547008546997859,0.0
0.0,0.0,0.0917183777164211,0.7984973321518128,6.794516824922252e-05,0.9586343225199254,0.0018879628880438008,0.0,0.0,0.04136636715890063,0.0,1.0,0.0,0.04136474023227166,0.9586314725126499,0.04138194311891752,0.9835988270724361,0.0006236570665705196,4.2297330713067776e-05,0.024793388429752067,0.0,0.0,1.0,0.0,0.005128205128205127,0.7142857142857153,0.0,6.70188556093328e-05,0.007155659983097598,0.0,0.002003845530150347,0.0,0.0,0.0,0.0006427273488680352,0.0,0.00012545114160538925,0.0,0.0006676360789138855,0.0,0.44891883422124723,0.0006056247397706197,0.009923319801533603,0.07496144232303356,0.0,0.0006818542516943489,0.9310344827536028,0.0,0.0,0.0,0.0749279538904899,0.0,0.0006417434029112419,0.0,0.017293214401071566,0.01728844631407256,0.0056091918369457,0.0,0.007555723460521345,0.0,0.0,0.0001767252805513833,0.0,0.04138194311891752,0.0,0.1151685393258427,0.9310344827536028,0.003487550888521077,0.00961538461535838,0.0
